GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,NodeFilter,268,0,26,0,44,0,16,0,3,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,SearchCriteria,36,0,0,0,16,0,8,0,8,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,HealthRequestFilter,268,0,26,0,44,0,16,0,3,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,ServiceFilter,268,0,26,0,44,0,16,0,3,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,SearchOperation,124,0,0,0,13,0,1,0,1,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,UserFilter,80,0,6,0,13,0,12,0,9,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.filter,TypeFilter,268,0,26,0,44,0,16,0,3,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.mapper,BaseMapper,14,0,0,0,2,0,2,0,2,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.mapper,MapperConfig,3,0,0,0,1,0,1,0,1,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.mapper,UserMapperImpl,18,0,0,0,4,0,4,0,4,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.mapper,UserMapperImpl_,336,0,28,0,92,0,21,0,7,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.solr.repository.impl,UserSolrRepositoryImpl,67,0,8,0,12,0,7,0,3,0
Archetype - Java JPA Rest API - Back/service-discovery-service,es.um.asio.service.solr.model,UserSolr,59,0,0,0,10,0,17,0,17,0
